"","garrett_3","garrett_4","garrett_5","garrett_7","garrett_8","garrett_9","garrett_10","garrett_11","garrett_12","garrett_13","garrett_14","garrett_15","garrett_17","garrett_18","garrett_19","garrett_21","garrett_28","garrett_30","garrett_31","garrett_36","garrett_43","garrett_46","garrett_48","25617X10","25617X11","25617X16","25617X17","25617X18","25617X19","25617X20","25617X21","25617X9"
"Muribaculum",0.000713932487688234,0,0.000455598715940579,0.00791590146285859,0,0.0193886242429748,0,0.00021629939544319,0.000369419953580704,0.000861875786461655,0.000107896397878757,0.000295071919565081,0,0,0.00046381711175931,0.0031458346004056,0.0285981245650943,0.000142517543909655,0.001229254620973,0.00359575341521663,0,0.00158192805391211,0.00311257588400148,0.000122583401482598,0.000589545472231819,0.000120907032466863,0.0126779610940045,0.0336965860347002,5.91693393950349e-05,0.00258335716235387,0.00379900691944501,0
"Paramuribaculum",0.00104710098194274,0,0,0.00925551555657312,0,0.0142671008580381,0.000130497534901566,0.000247199309077931,0.000167918160718502,0.000646406839846241,0.000107896397878757,0.000505837576397281,0,0.000144587232369033,0.000515352346399233,0.00262152883367134,0.0281349970417729,0.000213776315864483,0.000273167693549555,0.00284663812037983,0.000445331148241833,0.000703079135072048,0.00095771565661584,6.39565572952687e-05,0.000471636377785455,0.000657431989038568,0.00915224568889952,0.0239212314405983,2.95846696975175e-05,0.00122980176291696,0.000971336996449008,0
"Proteiniphilum",0.000713932487688234,0,0.000273359229564347,0.000852481696000156,0,0.00146329239569621,0,0.000525298531790604,0.000268669057149603,0,0,0.00012645939409932,0,0,0.00061842281567908,0.00104861153346853,0.0013893825699641,0.000285035087819311,0.000136583846774777,0.00104876141277152,0.000222665574120916,0.00123038848637608,0.00143657348492376,0.000239837089857258,0.00117909094446364,0.000959699570205726,0.00235047693673667,0.00427636630676423,0,0.00133035159258942,0.00140304232820412,0
"Dysgonomonas",0.000190381996716862,0,9.11197431881158e-05,0.000121783099428594,0,0.000243882065949369,0.000260995069803131,3.08999136347414e-05,0.000268669057149603,0.000430937893230828,0,0.00012645939409932,0,0,0,0.000838889226774828,0.000578909404151707,0,0.000136583846774777,0.000449469176902079,0,0.000175769783768012,0.00023942891415396,0.000159891393238172,0,8.31235848209684e-05,0.000980380276721771,0.00175664077668593,1.47923348487587e-05,0.00079666403509715,0.00075548433057145,7.74509348327834e-05
"Petrimonas",0.000809123486046666,0,0,0.000608915497142969,0,0.000609705164873422,0.000260995069803131,9.26997409042242e-05,6.71672642874007e-05,0,0,0.00012645939409932,0,0,0.000103070469279847,0.00136319499350909,0.00127360068913375,0.000427552631728966,0,0.000749115294836798,0,0.000703079135072048,0.00035914337123094,0.000127913114590537,0.00129700003891,0.000188917238229474,0.00463397137009483,0.00265885147959183,0,0.00382089352755332,0.00342486229859058,0
"Paludibacter",0.000285572995075294,0,0,0.000121783099428594,0,0.00109746929677216,0,6.17998272694828e-05,6.71672642874007e-05,0,0,4.21531313664401e-05,0,0,0.000103070469279847,0.00031458346004056,0.000926255046642731,0,0.000136583846774777,0.000299646117934719,0,0.000351539567536024,0.0005985722853849,8.52754097270249e-05,0,5.28968267042526e-05,0.000986469595210727,0.0016835645203758,0,0.000556891364339755,0.000359754443129262,0
"Salinivirga",0.000142786497537647,0,0,0,0,6.09705164873422e-05,0,9.26997409042242e-05,6.71672642874007e-05,0,0,0.000168612525465761,0,0.000289174464738066,5.15352346399233e-05,0.000209722306693707,0,7.12587719548276e-05,0,0.00014982305896736,0,0,0,2.66485655396953e-05,0,3.77834476458947e-05,0.000365359109337306,0.000737789126208091,0,0.000131488238802442,0.00015109686611429,0
"Candidatus Azobacteroides",4.75954991792156e-05,0,0,0,0,0.000182911549462027,0,3.08999136347414e-05,0,0.000215468946615414,0.0015105495703026,0,0,0,0,0,0,0,0,0,0,0,0.00047885782830792,5.32971310793906e-06,0.000825363661124546,6.04535162334316e-05,0.000225304784091339,0.000306358151454026,0,0.000116019034237449,0.000100731244076193,0
"Draconibacterium",0.000190381996716862,0,9.11197431881158e-05,0.00109604789485734,0,0.00249979117598103,0.00143547288391722,0.000308999136347414,0.00181351613575982,0.000646406839846241,0.000107896397878757,0.000295071919565081,0,0,0.000669958050319003,0.00115347268681539,0.00254720137826751,0.000285035087819311,0.000273167693549555,0.000898938353804157,0.000445331148241833,0.000527309351304036,0.00143657348492376,0.000415717622419246,0.00094327275557091,0.0023350170645163,0.00512111684921124,0.00782478067566981,8.87540090925524e-05,0.00145410522910936,0.00166206552725719,7.74509348327834e-05
"Maribellus",9.51909983584312e-05,0,0,0.000365349298285781,0,0.000182911549462027,0.000130497534901566,0.000308999136347414,0.000100750896431101,0,0,4.21531313664401e-05,0,0,0.00015460570391977,0.000209722306693707,0.000231563761660683,0,0.000136583846774777,0.00014982305896736,0.000890662296483665,0,0,6.92862704032077e-05,0.0152102731835809,0.00106549322361423,0.000347091153870441,0.000432836287375413,0,0.000177895852497422,0.000172682132702046,0
