"","garrett_67","garrett_53","garrett_47","garrett_50","garrett_60","garrett_76","garrett_35","garrett_34","garrett_95","garrett_49","garrett_39","garrett_85","25617X30","25617X31","25617X32","25617X37","25617X38","25617X39","25617X40","25617X41","25617X42"
"Macrococcus",0,0,0.00341892030496769,0,0,0.0143513203214696,0,0,0,0,0,0,0.00448564593301435,0,0,0.000551749708676154,0.000480748429154508,0.000178394785877198,0.000444479563817388,0.000378975213126186,0
"Macrococcoides",0,0,0,0.00423513467728274,0,0,0,0,0.00216459586995108,0,0.00204821498064437,0,0,0,0,5.51749708676154e-05,0.000120187107288627,0.000178394785877198,9.8773236403864e-05,0.000568462819689278,0
"Sporosarcina",0.00134242603232562,0,0,0,0,0,0.00136960035061769,0,0.00216459586995108,0,0.00136547665376291,0,0,0,0,0.00137937427169038,0.00120187107288627,0.000178394785877198,0.00024693309100966,0.000189487606563093,0
"Planococcus",0.00268485206465124,0,0.00341892030496769,0,0,0.0143513203214696,0.000913066900411793,0,0,0,0,0,0,0.0104735542754545,0.0098590160701962,0.00126902432995515,0.000961496858309015,0.000624381750570194,0.000345706327413524,0,0.0023576286970565
"Ureibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165524912602846,0.000600935536443135,0.000178394785877198,0,0.000757950426252371,0
"Kurthia",0.00134242603232562,0,0,0,0,0,0,0,0.00216459586995108,0,0,0,0,0,0,0.000331049825205692,0.000240374214577254,0.000178394785877198,4.9386618201932e-05,0.000189487606563093,0
"Viridibacillus",0,0,0,0,0,0,0.000913066900411793,0,0,0,0,0,0,0,0,5.51749708676154e-05,0,0,9.8773236403864e-05,0,0
"Rummeliibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8773236403864e-05,0.000568462819689278,0
"Alicyclobacillus",0,0,0,0,0,0,0.000913066900411793,0,0.00216459586995108,0,0.00136547665376291,0,0,0.00149622203935064,0.00394360642807848,0.000717274621279,0.000360561321865881,0.000178394785877198,9.8773236403864e-05,0.000189487606563093,0.00294703587132063
"Tumebacillus",0.00268485206465124,0,0,0,0,0,0,0,0,0,0.00204821498064437,0,0.00897129186602871,0,0.00394360642807848,0.000275874854338077,0,0,4.9386618201932e-05,0,0
