"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Acidithiobacillus",4.95679761312438,-0.0296164862632605,0.53961771521408,-0.0548841993660473,0.95623071998328,0.989815408685132
"Desulfovibrio",1065.68134739036,2.41144159262784,0.704246754825214,3.42414299548506,0.000616741593107941,0.00623202695511929
"Nitratidesulfovibrio",50.3095997968993,0.0263384157746394,0.566772001051736,0.0464709190393391,0.962934912281023,0.991819674021154
"Lawsonia",8.77558396814175,-0.743822739421138,0.676744788856413,-1.09911853281955,0.271716367186189,0.615739220444602
"Pseudodesulfovibrio",54.395818289616,-0.0500533143318312,0.405454232149261,-0.123449973789902,0.90175078631445,0.973982293412816
"Oleidesulfovibrio",7.31677408199777,0.0680190624286593,0.524805112194461,0.129608231414208,0.896876390457859,0.973982293412816
"Maridesulfovibrio",15.1715773368585,0.320793098435103,0.48344961066378,0.663550226040418,0.506978223146211,0.801737713084604
"Oceanidesulfovibrio",5.03573667410579,0.209904610244819,0.501756215670389,0.418339830557692,0.675698671916185,0.885159568838349
"Solidesulfovibrio",8.54054370238603,0.285318175253024,0.517266121106063,0.551588754049719,0.581230143120159,0.852023073739913
"Taurinivorans",4.21410939228917,-0.190614489610882,0.607910846985797,-0.313556651532055,0.753857787241883,0.91440864523244
"Desulfolutivibrio",7.90135099447379,-0.154499554088623,0.570773996223334,-0.270684290298625,0.786633860419537,0.923250581753461
"Desulfomicrobium",15.7580497807649,-0.151896065475553,0.469081009163977,-0.323816275884353,0.746077133197,0.913019421363342
"Geobacter",24.2456251695213,1.09319554389796,0.602433902277337,1.81463151354103,0.0695805562302925,0.279640038486138
"Trichlorobacter",4.56667920999565,0.756766757034056,0.603904126611351,1.25312400377267,0.210160581605078,0.550568832303673
"Citrifermentans",2.74789366951044,1.14480677366861,0.664608576481411,1.72252783695551,0.0849739446099166,0.323144642405454
"Geotalea",3.48871602213008,0.837034776294237,0.634923502794132,1.31832381792557,0.187395271046888,0.509811237386533
"Geomonas",7.6289836268088,-0.00618361844485606,0.479184216799221,-0.0129044701976213,0.989704008222045,0.999918754338499
"Desulfuromonas",11.2109097539365,0.73727888053022,0.397515959604156,1.8547151698372,0.0636369113304129,0.258692578243556
"Syntrophotalea",5.42411192942177,0.239632851378578,0.515028125234901,0.46528109755032,0.641730169434696,0.874038138344304
"Desulfobacter",7.24030408315292,0.0286514621247158,0.439230471751285,0.0652310437626917,0.947990044408489,0.985129713141437
"Desulfococcus",2.88316169373509,1.04997809582732,0.564108117579284,1.86130648204996,0.0627009083120608,0.25586793738114
"Desulfonema",3.73841181925024,0.788365997903859,0.611103765267097,1.29006895835323,0.197026716514266,0.529228724611737
"Desulfosarcina",10.6066880378823,0.165050691673542,0.378839897365202,0.43567399532482,0.663073275743246,0.882711098574133
"Desulfatibacillum",2.64333766569953,-0.530798815610422,0.696260747542122,-0.762356369340367,0.445847339083379,0.753254819693415
"Desulfosediminicola",2.57320168872448,0.725098396620781,0.717412983990696,1.01071267568554,0.312153968442617,0.644348950423378
"Desulfobulbus",9.539436531082,0.231131233282799,0.358120417655123,0.645400881625751,0.518667432230145,0.813052364927666
"Desulfoglaeba",1.79821661365151,0.226242667652497,0.629619805056504,0.359332196724963,0.719346591015247,0.892662845692605
"Campylobacter",412.412565887889,-0.0969041836921916,0.492562225811357,-0.196734907011128,0.844034992048888,0.956197251288898
"Malaciobacter",4.98370033504951,-0.0280237247413727,0.893054421280586,-0.031379638321692,0.974966779419321,0.996129859236463
"Halarcobacter",3.76485851298358,-0.479874979969868,0.810305367300114,-0.592214983801454,0.55370663700198,0.842873374259829
